Mission;Total Sats;Early Deorbit F;Disposal complete R;Reentry after Fail M;Total in Orbit;Screened F;Failed, decaying M;Total Working;Disposal underway R;Out of constellation L;Anom. U;Reserve T;Special S;Drift D;Ascent A;Operational O;Orbit Heights;Phase vs Plane;Plane vs Time
Mission;Total Sats;Early Deorbit;Disposal complete;Reentry after Fail;Total in Orbit;Screened;Failed, decaying;Total Working;Disposal underway;Out of constellation;Anom.;Reserve;Special;Drift;Ascent;Operational;Orbit Heights;Phase vs Plane;Plane vs Time
Tintin Prototypes (Launch 0, 2018-020);2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
Starlink V0.9 (Launch 1, 2019-029);60;0;50;10;0;0;0;0;0;0;0;0;0;0;0;0;;;
Starlink V1.0-L1 (Launch 2, 2019-074);60;1;8;0;51;0;5;46;0;2;0;0;0;0;0;44;;;
Starlink V1.0-L2 (Launch 3, 2020-001);60;2;8;0;50;0;4;46;1;4;0;0;0;0;0;41;;;
Starlink V1.0-L3 (Launch 4, 2020-006);60;1;7;0;52;0;4;48;1;1;0;0;0;0;0;46;;;
Starlink V1.0-L4 (Launch 5, 2020-012);60;1;7;1;51;0;3;48;1;0;0;0;0;0;0;47;;;
Starlink V1.0-L5 (Launch 6, 2020-019);60;2;1;0;57;0;4;53;0;1;0;0;0;0;0;52;;;
Starlink V1.0-L6 (Launch 7, 2020-025);60;0;3;2;55;0;4;51;0;0;0;0;0;0;0;51;;;
Starlink V1.0-L7 (Launch 8, 2020-035);60;2;3;0;55;0;1;54;1;0;0;0;0;0;0;53;;;
Starlink V1.0-L8/SkySat (Launch 9, 2020-038);58;2;4;0;52;0;10;42;0;0;0;0;0;0;0;42;;;
Starlink V1.0-L9/BSky (Launch 10, 2020-055);57;0;3;0;54;0;0;54;0;0;0;0;0;0;0;54;;;
Starlink V1.0-L10/SkySat (Launch 11, 2020-057);58;0;4;0;54;0;1;53;0;0;0;1;0;0;0;52;;;
Starlink V1.0-L11 (Launch 12, 2020-062);60;1;7;0;52;0;0;52;0;1;1;1;0;0;0;49;;;
Starlink V1.0-L12 (Launch 13, 2020-070);60;1;7;1;51;0;0;51;1;3;0;0;0;0;0;47;;;
Starlink V1.0-L13 (Launch 14, 2020-073);60;4;9;0;47;0;0;47;0;0;0;0;0;0;0;47;;;
Starlink V1.0-L14 (Launch 15, 2020-074);60;2;12;1;45;0;1;44;1;0;0;0;0;0;0;43;;;
